transaction_id,receipt_id,timestamp,scenario,customer_segment,channel,payment_method,subtotal,discount,tax,shipping,total,item_count,currency,receipt_image_path,receipt_text_hint
TX-RCPT-20251215-00001,RCPT-20251215-00001,2025-12-15T09:37:27,new_year_refresh,student,web,card,59.00,0.00,5.90,15.99,80.89,1,USD,receipts/RCPT-20251215-00001.png,new year refresh bundle purchase
TX-RCPT-20251215-00002,RCPT-20251215-00002,2025-12-15T20:55:00,new_year_refresh,professional,in_store_pickup,paypal,236.00,7.08,22.89,11.99,263.80,4,USD,receipts/RCPT-20251215-00002.png,new year refresh bundle purchase
TX-RCPT-20251215-00003,RCPT-20251215-00003,2025-12-15T19:29:34,new_year_refresh,student,mobile_app,card,139.90,7.00,13.29,7.99,154.18,2,USD,receipts/RCPT-20251215-00003.png,new year refresh bundle purchase
TX-RCPT-20251215-00004,RCPT-20251215-00004,2025-12-15T21:14:55,new_year_refresh,student,mobile_app,google_pay,2376.00,0.00,237.60,0.00,2613.60,4,USD,receipts/RCPT-20251215-00004.png,new year refresh bundle purchase
TX-RCPT-20251215-00005,RCPT-20251215-00005,2025-12-15T10:29:24,new_year_refresh,family,in_store_pickup,bank_transfer,827.00,24.81,80.22,7.99,890.40,3,USD,receipts/RCPT-20251215-00005.png,new year refresh bundle purchase
TX-RCPT-20251215-00006,RCPT-20251215-00006,2025-12-15T22:36:56,new_year_refresh,family,web,paypal,1584.15,47.52,153.66,0.00,1690.29,3,USD,receipts/RCPT-20251215-00006.png,new year refresh bundle purchase
TX-RCPT-20251215-00007,RCPT-20251215-00007,2025-12-15T11:47:35,new_year_refresh,small_business,mobile_app,bank_transfer,3098.00,92.94,300.51,0.00,3305.57,2,USD,receipts/RCPT-20251215-00007.png,new year refresh bundle purchase
TX-RCPT-20251215-00008,RCPT-20251215-00008,2025-12-15T10:40:10,new_year_refresh,gamer,in_store_pickup,card,2976.00,0.00,297.60,0.00,3273.60,4,USD,receipts/RCPT-20251215-00008.png,new year refresh bundle purchase
TX-RCPT-20251215-00009,RCPT-20251215-00009,2025-12-15T20:17:49,new_year_refresh,family,web,google_pay,177.00,0.00,17.70,15.99,210.69,3,USD,receipts/RCPT-20251215-00009.png,new year refresh bundle purchase
TX-RCPT-20251215-00010,RCPT-20251215-00010,2025-12-15T21:40:19,new_year_refresh,small_business,in_store_pickup,apple_pay,79.00,2.37,7.66,7.99,92.28,1,USD,receipts/RCPT-20251215-00010.png,new year refresh bundle purchase
TX-RCPT-20251215-00011,RCPT-20251215-00011,2025-12-15T22:23:56,new_year_refresh,family,web,card,236.00,11.80,22.42,7.99,254.61,4,USD,receipts/RCPT-20251215-00011.png,new year refresh bundle purchase
TX-RCPT-20251215-00012,RCPT-20251215-00012,2025-12-15T10:42:30,new_year_refresh,small_business,web,google_pay,3391.00,101.73,328.93,0.00,3618.20,4,USD,receipts/RCPT-20251215-00012.png,new year refresh bundle purchase
TX-RCPT-20251215-00013,RCPT-20251215-00013,2025-12-15T18:41:23,new_year_refresh,gamer,in_store_pickup,paypal,1999.00,199.90,179.91,0.00,1979.01,1,USD,receipts/RCPT-20251215-00013.png,new year refresh bundle purchase
TX-RCPT-20251215-00014,RCPT-20251215-00014,2025-12-15T09:45:40,new_year_refresh,student,web,card,79.00,2.37,7.66,7.99,92.28,1,USD,receipts/RCPT-20251215-00014.png,new year refresh bundle purchase
TX-RCPT-20251215-00015,RCPT-20251215-00015,2025-12-15T11:50:30,new_year_refresh,gamer,web,card,2277.00,227.70,204.93,0.00,2254.23,3,USD,receipts/RCPT-20251215-00015.png,new year refresh bundle purchase
TX-RCPT-20251215-00016,RCPT-20251215-00016,2025-12-15T08:25:46,new_year_refresh,family,web,apple_pay,2426.00,0.00,242.60,0.00,2668.60,4,USD,receipts/RCPT-20251215-00016.png,new year refresh bundle purchase
TX-RCPT-20251216-00017,RCPT-20251216-00017,2025-12-16T15:51:55,new_year_refresh,small_business,web,card,1228.00,0.00,122.80,0.00,1350.80,2,USD,receipts/RCPT-20251216-00017.png,new year refresh bundle purchase
TX-RCPT-20251216-00018,RCPT-20251216-00018,2025-12-16T15:30:13,new_year_refresh,gamer,web,apple_pay,1919.00,191.90,172.71,0.00,1899.81,1,USD,receipts/RCPT-20251216-00018.png,new year refresh bundle purchase
TX-RCPT-20251216-00019,RCPT-20251216-00019,2025-12-16T12:13:03,new_year_refresh,small_business,in_store_pickup,bank_transfer,59.00,5.90,5.31,0.00,58.41,1,USD,receipts/RCPT-20251216-00019.png,new year refresh bundle purchase
TX-RCPT-20251216-00020,RCPT-20251216-00020,2025-12-16T14:07:56,new_year_refresh,small_business,web,bank_transfer,926.95,0.00,92.70,7.99,1027.64,4,USD,receipts/RCPT-20251216-00020.png,new year refresh bundle purchase
TX-RCPT-20251216-00021,RCPT-20251216-00021,2025-12-16T18:45:20,new_year_refresh,professional,mobile_app,paypal,1267.00,38.01,122.90,0.00,1351.89,3,USD,receipts/RCPT-20251216-00021.png,new year refresh bundle purchase
TX-RCPT-20251216-00022,RCPT-20251216-00022,2025-12-16T10:59:22,new_year_refresh,student,web,google_pay,2125.90,106.30,201.96,0.00,2221.56,6,USD,receipts/RCPT-20251216-00022.png,new year refresh bundle purchase
TX-RCPT-20251216-00023,RCPT-20251216-00023,2025-12-16T12:59:42,new_year_refresh,student,web,google_pay,59.00,0.00,5.90,15.99,80.89,1,USD,receipts/RCPT-20251216-00023.png,new year refresh bundle purchase
TX-RCPT-20251216-00024,RCPT-20251216-00024,2025-12-16T17:13:45,new_year_refresh,family,web,google_pay,3298.00,164.90,313.31,0.00,3446.41,2,USD,receipts/RCPT-20251216-00024.png,new year refresh bundle purchase
TX-RCPT-20251216-00025,RCPT-20251216-00025,2025-12-16T10:40:16,new_year_refresh,professional,in_store_pickup,paypal,218.90,0.00,21.89,0.00,240.79,3,USD,receipts/RCPT-20251216-00025.png,new year refresh bundle purchase
TX-RCPT-20251217-00026,RCPT-20251217-00026,2025-12-17T21:23:37,new_year_refresh,small_business,web,paypal,1799.00,0.00,179.90,0.00,1978.90,1,USD,receipts/RCPT-20251217-00026.png,new year refresh bundle purchase
TX-RCPT-20251217-00027,RCPT-20251217-00027,2025-12-17T20:35:56,new_year_refresh,gamer,in_store_pickup,apple_pay,118.00,3.54,11.45,11.99,137.90,2,USD,receipts/RCPT-20251217-00027.png,new year refresh bundle purchase
TX-RCPT-20251217-00028,RCPT-20251217-00028,2025-12-17T20:44:06,new_year_refresh,gamer,web,paypal,932.00,27.96,90.40,0.00,994.44,8,USD,receipts/RCPT-20251217-00028.png,new year refresh bundle purchase
TX-RCPT-20251217-00029,RCPT-20251217-00029,2025-12-17T21:04:49,new_year_refresh,family,mobile_app,bank_transfer,148.95,4.47,14.45,11.99,170.92,2,USD,receipts/RCPT-20251217-00029.png,new year refresh bundle purchase
TX-RCPT-20251217-00030,RCPT-20251217-00030,2025-12-17T20:20:27,new_year_refresh,small_business,in_store_pickup,card,1136.85,113.69,102.32,0.00,1125.48,6,USD,receipts/RCPT-20251217-00030.png,new year refresh bundle purchase
TX-RCPT-20251217-00031,RCPT-20251217-00031,2025-12-17T13:27:04,new_year_refresh,family,in_store_pickup,google_pay,2265.00,67.95,219.71,0.00,2416.76,5,USD,receipts/RCPT-20251217-00031.png,new year refresh bundle purchase
TX-RCPT-20251217-00032,RCPT-20251217-00032,2025-12-17T17:36:19,new_year_refresh,gamer,in_store_pickup,card,1066.95,106.70,96.03,7.99,1064.27,4,USD,receipts/RCPT-20251217-00032.png,new year refresh bundle purchase
TX-RCPT-20251217-00033,RCPT-20251217-00033,2025-12-17T15:50:57,new_year_refresh,professional,in_store_pickup,card,128.95,12.89,11.61,15.99,143.66,2,USD,receipts/RCPT-20251217-00033.png,new year refresh bundle purchase
TX-RCPT-20251217-00034,RCPT-20251217-00034,2025-12-17T11:30:39,new_year_refresh,student,mobile_app,paypal,1027.00,30.81,99.62,0.00,1095.81,3,USD,receipts/RCPT-20251217-00034.png,new year refresh bundle purchase
TX-RCPT-20251217-00035,RCPT-20251217-00035,2025-12-17T10:51:44,new_year_refresh,small_business,mobile_app,card,1986.00,59.58,192.64,0.00,2119.06,4,USD,receipts/RCPT-20251217-00035.png,new year refresh bundle purchase
TX-RCPT-20251217-00036,RCPT-20251217-00036,2025-12-17T20:57:28,new_year_refresh,small_business,in_store_pickup,bank_transfer,2636.00,131.80,250.42,0.00,2754.62,4,USD,receipts/RCPT-20251217-00036.png,new year refresh bundle purchase
TX-RCPT-20251217-00037,RCPT-20251217-00037,2025-12-17T12:48:15,new_year_refresh,family,in_store_pickup,paypal,2098.00,209.80,188.82,0.00,2077.02,2,USD,receipts/RCPT-20251217-00037.png,new year refresh bundle purchase
TX-RCPT-20251217-00038,RCPT-20251217-00038,2025-12-17T11:24:44,new_year_refresh,professional,in_store_pickup,apple_pay,139.90,0.00,13.99,0.00,153.89,2,USD,receipts/RCPT-20251217-00038.png,new year refresh bundle purchase
TX-RCPT-20251217-00039,RCPT-20251217-00039,2025-12-17T14:30:00,new_year_refresh,family,mobile_app,paypal,306.95,0.00,30.70,15.99,353.64,4,USD,receipts/RCPT-20251217-00039.png,new year refresh bundle purchase
TX-RCPT-20251218-00040,RCPT-20251218-00040,2025-12-18T19:10:53,new_year_refresh,gamer,web,bank_transfer,1956.00,195.60,176.04,0.00,1936.44,4,USD,receipts/RCPT-20251218-00040.png,new year refresh bundle purchase
TX-RCPT-20251218-00041,RCPT-20251218-00041,2025-12-18T13:13:29,new_year_refresh,family,mobile_app,paypal,3486.00,348.60,313.74,0.00,3451.14,4,USD,receipts/RCPT-20251218-00041.png,new year refresh bundle purchase
TX-RCPT-20251218-00042,RCPT-20251218-00042,2025-12-18T13:14:41,new_year_refresh,student,in_store_pickup,card,2598.00,0.00,259.80,0.00,2857.80,2,USD,receipts/RCPT-20251218-00042.png,new year refresh bundle purchase
TX-RCPT-20251218-00043,RCPT-20251218-00043,2025-12-18T19:16:49,new_year_refresh,family,web,bank_transfer,2277.95,227.79,205.02,0.00,2255.18,3,USD,receipts/RCPT-20251218-00043.png,new year refresh bundle purchase
TX-RCPT-20251218-00044,RCPT-20251218-00044,2025-12-18T14:45:12,new_year_refresh,student,in_store_pickup,apple_pay,1697.00,169.70,152.73,0.00,1680.03,3,USD,receipts/RCPT-20251218-00044.png,new year refresh bundle purchase
TX-RCPT-20251218-00045,RCPT-20251218-00045,2025-12-18T13:34:27,new_year_refresh,family,web,bank_transfer,1473.00,0.00,147.30,0.00,1620.30,2,USD,receipts/RCPT-20251218-00045.png,new year refresh bundle purchase
TX-RCPT-20251218-00046,RCPT-20251218-00046,2025-12-18T19:09:27,new_year_refresh,professional,in_store_pickup,bank_transfer,59.00,2.95,5.61,11.99,73.65,1,USD,receipts/RCPT-20251218-00046.png,new year refresh bundle purchase
TX-RCPT-20251218-00047,RCPT-20251218-00047,2025-12-18T15:15:48,new_year_refresh,gamer,in_store_pickup,bank_transfer,907.00,0.00,90.70,0.00,997.70,3,USD,receipts/RCPT-20251218-00047.png,new year refresh bundle purchase
TX-RCPT-20251218-00048,RCPT-20251218-00048,2025-12-18T22:38:44,new_year_refresh,family,in_store_pickup,card,148.95,7.45,14.15,0.00,155.65,2,USD,receipts/RCPT-20251218-00048.png,new year refresh bundle purchase
TX-RCPT-20251218-00049,RCPT-20251218-00049,2025-12-18T19:31:28,new_year_refresh,student,web,google_pay,59.00,1.77,5.72,15.99,78.94,1,USD,receipts/RCPT-20251218-00049.png,new year refresh bundle purchase
