"snapshot","state","tracked","area","path","proposed_disposition","rationale"
"2026-08-10T13:00:02+10:00"," M","True",".github",".github/dependabot.yml","preserve_review_required","Tracked user or historical change; inspect diff and commit by bounded owner slice."
"2026-08-10T13:00:02+10:00"," M","True",".github",".github/workflows/ci.yml","preserve_review_required","Tracked user or historical change; inspect diff and commit by bounded owner slice."
"2026-08-10T13:00:02+10:00"," M","True",".github",".github/workflows/ci_prometheus.yml","preserve_review_required","Tracked user or historical change; inspect diff and commit by bounded owner slice."
"2026-08-10T13:00:02+10:00"," M","True",".github",".github/workflows/ci_smoke.yml","preserve_review_required","Tracked user or historical change; inspect diff and commit by bounded owner slice."
"2026-08-10T13:00:02+10:00"," M","True",".github",".github/workflows/clean-checkout-smoke.yml","preserve_review_required","Tracked user or historical change; inspect diff and commit by bounded owner slice."
"2026-08-10T13:00:02+10:00"," M","True",".github",".github/workflows/integration-tests.yml","preserve_review_required","Tracked user or historical change; inspect diff and commit by bounded owner slice."
"2026-08-10T13:00:02+10:00"," M","True",".github",".github/workflows/playwright-smoke.yml","preserve_review_required","Tracked user or historical change; inspect diff and commit by bounded owner slice."
"2026-08-10T13:00:02+10:00"," M","True",".github",".github/workflows/playwright-tests.yml","preserve_review_required","Tracked user or historical change; inspect diff and commit by bounded owner slice."
"2026-08-10T13:00:02+10:00"," M","True",".github",".github/workflows/playwright-ui-smoke.yml","preserve_review_required","Tracked user or historical change; inspect diff and commit by bounded owner slice."
"2026-08-10T13:00:02+10:00"," M","True",".github",".github/workflows/ruff-changed.yml","preserve_review_required","Tracked user or historical change; inspect diff and commit by bounded owner slice."
"2026-08-10T13:00:02+10:00"," M","True",".github",".github/workflows/security-tests.yml","preserve_review_required","Tracked user or historical change; inspect diff and commit by bounded owner slice."
"2026-08-10T13:00:02+10:00"," M","True",".github",".github/workflows/security_scans.yml","preserve_review_required","Tracked user or historical change; inspect diff and commit by bounded owner slice."
"2026-08-10T13:00:02+10:00"," M","True",".github",".github/workflows/service-tests-sharded.yml","preserve_review_required","Tracked user or historical change; inspect diff and commit by bounded owner slice."
"2026-08-10T13:00:02+10:00"," M","True",".github",".github/workflows/trivy.yml","preserve_review_required","Tracked user or historical change; inspect diff and commit by bounded owner slice."
"2026-08-10T13:00:02+10:00"," M","True",".github",".github/workflows/v2-gates.yml","preserve_review_required","Tracked user or historical change; inspect diff and commit by bounded owner slice."
"2026-08-10T13:00:02+10:00"," M","True","config","config/feature_flags.json","preserve_review_required","Tracked user or historical change; inspect diff and commit by bounded owner slice."
"2026-08-10T13:00:02+10:00"," M","True","config","config/observability/alerts.yml","preserve_review_required","Tracked user or historical change; inspect diff and commit by bounded owner slice."
"2026-08-10T13:00:02+10:00"," M","True","config","config/product_capability_sources.json","preserve_review_required","Tracked user or historical change; inspect diff and commit by bounded owner slice."
"2026-08-10T13:00:02+10:00"," M","True","config","config/security/cv_playbooks.json","preserve_review_required","Tracked user or historical change; inspect diff and commit by bounded owner slice."
"2026-08-10T13:00:02+10:00"," M","True","config","config/security/taxonomy/risk_correlation_policy.json","preserve_review_required","Tracked user or historical change; inspect diff and commit by bounded owner slice."
"2026-08-10T13:00:02+10:00"," M","True","docs","docs/WORKTREE_OWNERSHIP_MANIFEST_2026-08-05.csv","preserve_review_required","Tracked user or historical change; inspect diff and commit by bounded owner slice."
"2026-08-10T13:00:02+10:00"," M","True","frontend","frontend/e2e/fit-deadline-trace.spec.ts","preserve_review_required","Tracked user or historical change; inspect diff and commit by bounded owner slice."
